hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,essential_dental,provider_name,google_name,city,type,group_name,tel_no,area,location
M1072,✔,✖,✖,✖,✖,✖,✖,✖,GERMAN DENTAL OASIS FZ-LLC,German Dental Oasis,DUBAI,MEDICAL CENTER,-,04-3635370,DHCC,"Al Razi Medical Complex Building , 64 Block C, Room 2017, Oud Metha, DHCC, Dubai – UAE,"
M1081,✔,✔,✔,✔,✔,✖,✖,✖,GO DENTAL CLINIC LLC- Al Karama,"Go Dental Clinic, Bur Dubai",DUBAI,MEDICAL CENTER,DR.JOY DENTAL CLINIC,04-3979522,Al Karama,"Al Attar Centre, Block 1 3rd Floor Unit 315, Sheikh Khalifa Bin Zayed Road, Karama, Dubai,UAE"
M1004,✔,✔,✔,✔,✔,✖,✖,✖,HUSSAM DENTAL CLINIC,Hussam Dental Clinic,DUBAI,MEDICAL CENTER,-,04-3343421,BURDUBAI,"M-16 UMM HURAIR BUILDING ZAABEEL ROAD ROAD BURDUBAI, DUBAI"
OTH252,✔,✔,✔,✖,✖,✖,✖,✖,MUNICH DENTAL CLINIC,Munich Dental Clinic,DUBAI,MEDICAL CENTER,-,04-3454400,MIRDIF,S16 MIRDIF AVENUE MALL
OTH253,✔,✔,✔,✖,✖,✖,✖,✖,MUNICH DENTAL CLINIC (BRANCH),Munich Dental Clinic Dubai,DUBAI,MEDICAL CENTER,-,04-3450055,UMM EL SHIEF,101 BAHWAN PLAZA
M1006,✔,✔,✔,✔,✔,✖,✖,✖,NAGEM DENTAL DIET & LASER CENTER L.L.C,Nagem Dental Center- International City,DUBAI,MEDICAL CENTER,Nagem dental center,04-4564090,INTERNATIONAL CITY,"CBD E05 SHOP #1, INTERNATIONAL CITY , DUBAI,P.O. BOX:450264"
M1007,✔,✔,✔,✔,✔,✖,✖,✖,NAGEM DENTAL DIET & LASER CENTER L.L.C BRANCH,Nagem Dental Diet & Laser Center- Al Barsha,DUBAI,MEDICAL CENTER,Nagem dental center,04-3991115,AL BARSHA-1,"Yousuf khouri bld, al barsha busines  center #506, al barsha 1, P.O.BOX:300550, DUBAI"
OTH243,✔,✔,✔,✔,✔,✖,✖,✖,KINGS DENTAL CENTER L.L.C (EX. QUEENS DENTAL CENTER L.L.C),Kings - Dental Center Karama Dubai,DUBAI,MEDICAL CENTER,-,04-3984445,Karama,"HAMDAN JUMA BUILDING, BEHIND KARAMA FISH MARKET, KARAMA, DUBAI"
M1031,✔,✔,✔,✔,✔,✖,✖,✖,RONA RABAH DENTAL CLINIC,Rona Rabah Dental Clinic,DUBAI,MEDICAL CENTER,-,04-5586998,Business bay,"#111,Burlington Tower,Business Bay, DUBAI- UAE"
OTH201,✔,✔,✔,✔,✔,✖,✖,✖,SAI GANESH  MEDICAL CENTRE LLC-AL QUASIS,Dr. Sai Ganesh Medical Centre - Qusais,DUBAI,MEDICAL CENTER,DR. SAI GANESH GROUP,04 2500017,AL QUASIS,"SUIT NO:106,ABDULLA AL FAHIDI BUILING,DAMASCUS STREET,AL QUASIS, DUBAI-UAE"
OTH202,✔,✔,✔,✔,✔,✖,✖,✖,SMILE ART Br OF ORACARE DENTAL  CLINIC,Smile Art,DUBAI,MEDICAL CENTER,DR. SAI GANESH GROUP,04-3570705,SATWA,"Suit no:201,Dune center,2nd December street,Satwa, DUBAI"
M1032,✔,✔,✖,✖,✖,✖,✖,✖,STANDARD MEDICAL CLINIC,Standard Medical Clinic Llc - Dental Clinic In Dubai,DUBAI,MEDICAL CENTER,-,04-3281112,Al Wasl road,"Standard  Medical Clinic, Al Wasl road, AL Tanya street, Umm- suqueim3 , DUBAI"
M1048,✔,✔,✖,✖,✖,✖,✖,✖,THE DENTAL HOUSE CENTER,The Dental House Center,DUBAI,MEDICAL CENTER,The Dental house,04-2345777,AL QUSAIS 2,"OFFICE #203, AL HILAL BANK BUILDING,AL NAHDA ROAD, AL QUSAIS 2, DUBAI"
OTH186,✔,✔,✖,✖,✖,✖,✖,✖,THE DENTAL STUDIO PLUS LLC,Dental Studio - Barsha Heights (Tecom),DUBAI,MEDICAL CENTER,-,04-3687070,Barsha Heights,"Suite 102, 1st Floor, Cayan Business Center, Barsha Heights, DUBAI"
OTH208,✔,✔,✔,✔,✔,✔,✖,✖,VENEERS DENTAL CENTER LLC,Veneers Dental Centre,DUBAI,MEDICAL CENTER,-,04 2545024,DEIRA,"Centurion Star Tower, Block – A, Flat No. 1105.Port Saeed, Deira - Dubai"
M1074,✔,✔,✔,✔,✔,✖,✖,✖,VIENNA DENTAL CLINIC FZ LLC,Vienna Dental Clinic,DUBAI,MEDICAL CENTER,-,04-5897990,DUBAI MEDIA CITY,"PARKING 1, SHATHA TOWER, DUBAI MEDIA CITY, DUBAI, UAE"
B004,✔,✔,✔,✔,✖,✖,✖,✖,ABBARA POLYCLINIC,Abbara Polyclinic-Dr.Ismail Abbara مجمع عبارة الطبي - دكتور إسماعيل عبارة Office 2201,DUBAI,MEDICAL CENTER,-,04-2685333,DEIRA,"AL MANARA TOWER 22ND FLOOR , ROOM # 2201 (Opposite  of  DAMAC Merano Tower), MARASI DRIVE STREET, BUSINESS BAY,  Near JW Marriot Marquis Hotel,DUBAI UAE,"
M1241,✔,✔,✔,✔,✔,✖,✖,✖,ABSOLUTE WELLNESS MEDICAL CENTRE,Absolute Wellness Medical Center Dubai,DUBAI,MEDICAL CENTER,-,04-3361355,AL QUOZ IND 3,"ABSOLUTE WELLNESS MEDICAL CENTRE, SALMAN EBRAHIM BLDG., 1st FLOOR, AL QUOZ IND-3, DUBAI"
M423,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC ALQUOZ,Access Clinic,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3217544,AL QUOZ,"Al Arif Bldg., Near UAE Exchange, Behind Cement Factory, Al Quoz, Dubai, P.O. Box: 8703 Dubai"
M424,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC BUR DUBAI,"Aster Clinic , Ghubaiba",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3527300,BUR DUBAI,"Souq Al Kabeer Bldg., Opp. Etisalat Bldg., Bur Dubai, P.O. Box: 8703 Dubai"
M849,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC DIC BR DM HEALTHCARE LLC,Access Clinic Dic,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-5896619,Dubai Industrial Park,"Sapphire Mall, First Floor, Shop No 39-41, Saih Shuaib 2, Dubai Industrial Park, P.O. Box:8703, Dubai UAE"
M418,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC DIP,Access Clinic Dip 1,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-8800408,DIP,"Ramla Hyper Market Bldg., Dubai Investment Park 2, Dubai, P.O. Box: 8703 Dubai"
M474,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC DIP 2 BR OF DM HEALTHCARE LLC,Access Clinic Dip2,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-8833028,DIP,"Kadris Mall, Ground Floor, Shop No.7, Dubai Investment Park 2, Jabel Ali, Majelan Al Madeena Supermarket, DIP2"
M420,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC FREEZONE,Access Clinic Jafza,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-8806577,JAFZA,"Commercial Centre Bldg., Food Court 3, Jafza, Dubai, P.O. Box: 8703 Dubai"
M421,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC INTERNATIONAL CITY,Access Clinic International City Morocco Cluster (Aster Clinic),DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3606587,INTERNATIONAL CITY,"1-11, Morocco Cluster, International City, Dubai, P.O. Box: 8703 Dubai"
M439,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC PERSIA CLUSTER,Access Clinic Persia,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-5520139,INTERNATIONAL CITY,"Shop No.10, Ground Floor, Persia N04, Persia Cluster, International City, Dubai, P.O. Box: 8703, Dubai"
M419,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC SONAPUR,Access Clinic 1 Sonapur Near Gift City General Trading Llc (Branch),DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2510266,MUHAISNAH,"Sameya Khalifa Mohd Alfuqaei Bldg., 24th Street, Sonaour-Muhaisnah, P.O. Box: 8703 Dubai"
M461,✔,✔,✔,✔,✔,✖,✖,✖,ACCESS CLINIC SONAPUR 2 BR OF DM HEALTHCARE LLC (EX. AFIF MEDICAL CENTER),Access Clinic Sonapur 2,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4267279,MUHAISNAH,"Dubai Municipality Bldg., Floor 1, Shop No. 4, Muhaisnah 2, Sonapur, P.O. Box: 8703, Dubai"
M118,✔,✔,✔,✔,✔,✖,✖,✖,ADAM MEDICAL CENTER LLC (Ex:DIGITAL POLYCLINIC),Adam Medical Centre L.L.C,DUBAI,MEDICAL CENTER,-,04-3355011,OUD METHA,"Office Court Suite 110 Oud Metha Road, P.O. Box: 47957"
M965,✔,✔,✔,✔,✔,✔,✖,✖,AL HANA MEDICAL CENTER LLC,Al Hana Medical Centre,DUBAI,MEDICAL CENTER,-,04-3491488,SATWA,"AL HANA MEDICAL CENTER ,SATWA, BEHIND MUNICIPALITY , P.O. Box:24801, DUBAI- UAE"
M1145,✔,✔,✔,✔,✔,✖,✖,✖,AL HANA MODERN MEDICAL CENTER LLC,Al Hana Modern Medical Center,DUBAI,MEDICAL CENTER,-,04-3244034,AL JAFILIYA,"AL MANKHOOL ROAD, AL JAFILIYA, INSIDE AL HANA CENER, 2 ND FLOOR, DUBAI , UAE"
M131,✔,✔,✔,✖,✖,✖,✖,✖,AL QUDRA MEDICAL CLINIC,Al Qudra Medical Centre,DUBAI,MEDICAL CENTER,-,04-3319109,SZR,"Sheikh Zayed Road, White Crown Building, 8th Floor, Flat 801, P.O. Box: 118340"
M495,✔,✔,✔,✔,✔,✖,✖,✖,AL QUOZ CITY STAR POLYCLINIC,Al Quoz City Star Polyclinic,DUBAI,MEDICAL CENTER,-,04-3285130,AL QUOZ,"Al Rostamani Bldg., 1st Floor, Flat No.105, Near Al Khail Mall"
M149,✔,✔,✔,✔,✔,✖,✖,✖,AL RAFA POLYCLINIC - INTERNATIONAL CITY BRANCH,"Aster Clinic, International City",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4227944,INTERNATIONAL CITY,"International City, Russian Cluster , P.O. Box: 8703 Dubai"
A193,✔,✔,✔,✔,✔,✖,✖,✖,AL RAFA POLYCLINIC BR. TECOM,"Aster Clinic, Tecom(Barsha Heights)- Internal Medicine, Dentistry, Pediatrics, Obstetrics&Gynecology, Orthopedics..",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4534830,TECOM,"Icon Tower, Tecom, P.O. Box: 8703 Dubai"
M182,✔,✔,✔,✔,✔,✖,✖,✖,AL SHAAB MEDICAL CENTRE,"Aster Clinic, Hor Al Anz",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2970870,HOR AL ANZ,"Near Talal Super market, Al Shaab Colony, P.O. Box: 8703 Dubai"
B143,✔,✔,✔,✔,✔,✖,✖,✖,AL WARQA MEDICAL CENTRE,Aster Clinic - Al Warqa,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2800899,AL WARQA,"Mars Supermarket Building, Al Warqa-2, P.O. Box: 8703 Dubai"
M1242,✔,✔,✔,✔,✔,✖,✖,✖,ALHABAB GENERAL CLINIC,Al Habab General Clinic,DUBAI,MEDICAL CENTER,-,050-4987111; 050-8826272; 055-3397026,DUBAI HATTA - OMAN RD.,"DUBAI –HATTA OMAN ROAD –LAHBAB FIRST, DUBAI, U.A.E"
A172,✔,✔,✔,✔,✔,✖,✖,✖,AMALA MEDICAL CENTRE,"Nmc Amala Medical Center, Al Qouz Branch",DUBAI,MEDICAL CENTER,NMC HEALTHCARE,04-3219548,AL QUOZ,"2/F Al Khail Mall, P.O. Box: 26238"
M818,✔,✔,✔,✖,✖,✖,✖,✖,APEX MEDICAL CLINICS  LLC,Apex Clinics Motor City,DUBAI,MEDICAL CENTER,APEX MEDICAL GROUP,04-3608881,DUBAI LAND,"UNIT 303-304 APEX ATRIUM BUILDING, MJOTORCITY DUBAI"
M999,✔,✔,✔,✔,✔,✔,✖,✖,ASH TREE CLINIC LLC,Ash Tree Clinic Llc,DUBAI,MEDICAL CENTER,-,04-3337633,Bur Dubai,"Al Balooch Building , souq Al kabeer St.,Al Raffa ,Near Al RAffa police station , Bur Dubai , Dubai – UAE"
M212,✔,✔,✔,✔,✔,✖,✖,✖,ASTER AL NAHDA MEDICAL CENTER,Aster Clinic,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2399119,AL NAHDA,"Amman St., Opposite NMC Specialty Hospital, Al Nahda, P.O. Box: 8703 Dubai"
M1197,✔,✔,✔,✔,✔,✖,✖,✖,ASTER CEDARS CLINIC,Aster Cedars Clinic,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4400500,JEBEEL ALI - 1,"DUGAS ROAD, JEBEEL ALI - 1, DUBAI"
A205,✔,✔,✔,✔,✔,✖,✖,✖,ASTER JABAL ALI MEDICAL CENTRE,"Aster Clinic, Jabel Ali",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-8841161,JAFZA,"Nesto Hypermarket, Jebel Ali, P.O. Box: 8703 Dubai"
M273,✔,✔,✔,✔,✔,✖,✖,✖,ASTER JUBILEE MEDICAL COMPLEX,Aster Clinic,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4090300,BUR DUBAI,"Groud Floor, Al Futtaim Bldg., Khalid Bin Al Waleed Street, Meena Bazaar, Bur Dubai, P.O. Box: 8703 Dubai"
M168,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTER,"Aster Clinic, Al Qusais(Damascus St.)",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2576333,AL QUSAIS,"G/F, Al Fattan Bldg., Al Qusais, P.O. Box: 8703 Dubai"
M217,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTER BUSINESS BAY,"Aster Clinic, Business Bay",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4508826,BUSINESS BAY,"G/F Aspect Tower, Tower D, Business Bay, Near Burj Khalifa, P.O. Box: 8703 Dubai"
M473,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTER DIERA BR OF DM HEALTHCARE LLC,Aster Clinic Oud Metha,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2945095,DEIRA,"Seikha Rajaa Majed Al Qassimi Bldg., 2nd Floor, Flat No. 202, 204, Opposite Al Futtaim Mosque, Naif Road, Deira"
M236,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE - JLT BRANCH,"Aster Clinic, Jlt",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4204069,JLT,"Ground Floor, Red Diamond Bldg., Near Carrefour Supermarket, P.O. Box: 8703 Dubai"
M512,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE ABU HAIL BR OF DM HEALTHCARE,"Aster Medical Centre, Abu Hail",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2692785,ABU HAIL,"Sheikh Suhail Bldg., Ground Floor, Shop Number 2, 24 street, Hor Al Anz East"
M532,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE AL BARSHA,"Aster Clinic, Al Barsha - Internal Medicine, Pediatrics, Dermatology, Dentistry, Orthopedics",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3472420,AL BARSHA,"Arenco Bldg., Ground Floor, Shop 1 & 13, Al Barsha 1, Dubai"
M408,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE AL MUHAISNAH,"Aster Clinic, Muhaisnah 4",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2592154,MUHAISNAH,"Flat 4, 1st Floor, Muhaisnah Plaza Bldg., Beirut St., Near Al Madeena Mall, Al Muhaisnah, Dubai, P.O. Box: 8703 Dubai"
M553,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE AL QOUZ,"Aster Clinic, Al Quoz - Al Khail Mall",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4400500,AL QUOZ,"Abdulla Al Asmawi Building, Ground Floor, Shop 1-7, Latifa Bint Hamdan Street, Al Quoz 4, Dubai"
M401,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE AL QUSAIS,"Aster Clinic, Al Qusais",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2632202,AL QUSAIS,"Shop No.2 & 3, AQU Bldg., Near Dubai Airport Free Zone Metro Station, Al Qusais 1, Dubai, P.O. Box: 8703 Dubai"
M533,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE ARABIAN RANCHES,Aster Medical Center,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4560485,ARABIAN RANCHES,"Arabian Ranches 2 Shopping Mall, The Village Mall, Arabian Ranches Community Centre"
M438,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE ASWAAQ MALL,"Aster Clinic Aswaaq Mall (Barsha South) - Iv Drip, General Medicine, Paediatrics, Gynaecology, Dermatology And Dental",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3471540,AL BARSHA,"Awaq, Al barsha South Community Centre, Dubai, P.O. Box: 8703, Dubai"
M975,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE DUBAI LAND,"Aster Clinic, Dubailand",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3435645,Dubai Land,"Skycourts  Tower D, Ground Floor, R 7B, Wadi Al Safa - 5, Dubai Land, Dubai - UAE, P.O. Box:8703"
M385,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE INTERNATIONAL CITY(Gynaecology and Paediatrics services only),"Aster Clinic, International City",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4312273,INTERNATIONAL CITY,"Shop No.6, 8 & 10, V-19 Russia Cluster, International City, P.O. Box: 8703 Dubai"
M1065,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE JABAL ALI 2 BR OF DM HEALTHCARE LLC,"Aster Clinic, Jabel Ali",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-8800629,JABAL ALI INDUSTRIAL AREA - 1,"CIG CENTRAL MALL,MEZZANINE FLOOR,22 STREET,JABAL ALI INDUSTRIAL AREA - 1 ,DUBAI,UAE"
M981,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE RAS AL KHOR BR OF DM HEALTHCARE LLC,"Aster Clinic, Ras Al Khor",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3425354,Ras Al Khor,"Shop No 16-17, Ground Floor, Marhaba Mall, Ras Al Khor Industrial Area 3, DUBAI UAE"
A177,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE REMRAAM (BR OF D M HEALTHCARE),"Aster Clinic, Remraam",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3333424,RERAAM,"REMRAAM COMMUNITY CENTRE,FLOOR GROUND FLOOR-FLAT RETAIL 08,RERAAM ,NEAR GEANT SUPERMARKET"
M1102,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE SHIEKH ZAYED ROAD BR OF DM HEALTHCARE LLC,Aster Clinic Emirates Towers Sheikh Zayed Road,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3200438,SHIEKH ZAYED ROAD,"ASTER MEDICAL CENTRE SHIEKH ZAYED ROAD-AL MANAL TOWER-MEZZANINE FLOOR,TRADE CENTER 1 AL MANAL TOWER"
M402,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE SILICON OASIS,"Aster Clinic, Dubai Silicon Oasis",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2632202,SILICON OASIS,"101, 1st Floor, Silicon Gate 1, Opposite Choitram, Dubai Silicon Oasis, Dubai, P.O. Box: 8703 Dubai"
M1215,✔,✔,✔,✔,✔,✖,✖,✖,ASTER MEDICAL CENTRE SPORTS CITY BR OF DM HEALTHCARE LLC,"Aster Clinic, Sports City",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4577919,SPORT CITY,"SPANISH BUILDING -FLOOR G ,SHOP NO-3 ,AL HEBIAH FORTH ,DUBAI SPORT CITY"
M940,✔,✔,✔,✔,✔,✖,✖,✖,ASTER ORTHOPEDICS AND PHYSIOTHERAPY CENTRE BR OF DM HEALTHCARE LLC,"Aster Orthopedic & Physiotherapy Speciality Clinic, Al Warqa",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2831026,AL WARQA,"HANBAL AL MADANI BUILDING, GROUND FLOOR, NEAR DUBAI LIBRARY, AL WARQA - 1"
M513,✔,✔,✔,✔,✔,✖,✖,✖,ASTER SPECIALIST CENTRE FOR ORTHOPAEDICS AND PHYSIOTHERAPY,Aster Speciality Clinic,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3311006,AL QUSAIS,"Al Ahbabi Bldg., Ground Floor, Shop No.1, Damascus Street, Al Qusais"
L071,✔,✔,✔,✔,✔,✖,✖,✖,ASTER SPECIALIST MEDICAL CENTRE INTERNATIONAL CITY BR,Aster Speciality Clinic,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-4279554,INTERNATIONAL CITY,"The Pavillon Mall, Retail-10, ICP-RT-11/11A/11B, France Cluster, International City, Dubai, P.O. Box 8703"
M1221,✔,✔,✔,✔,✔,✖,✖,✖,BEST HEALTH MEDICAL CENTER L.L.C,Best Health Medical Center (Poly Clinic),DUBAI,MEDICAL CENTER,-,04-2500818,MUHAISNAH 4,"MUHAISNAH 4, MADINA HYPER MARKET BUILDING"
M622,✔,✔,✔,✔,✖,✖,✖,✖,CLINICARE BR OF IMARA HEALTH CARE LLC,Imara Healthcare Uae,DUBAI,MEDICAL CENTER,IMARA HEALTHCARE LLC,04-2617175,NAIF ROAD,"Ahmed Plaza Building, Opp to Al Futtaim Mosque, Naif Road, Dubai Po.Box:392734"
M581,✔,✔,✔,✔,✖,✖,✖,✖,CLINICARE SAMARI BR OF IMARA HEALTH CARE LLC,Imara Healthcare Uae,DUBAI,MEDICAL CENTER,IMARA HEALTHCARE LLC,04-3322682,RAS AL KHOR,"Samari Retail Mall, Next to Samari Residence, Ras al Khor, Industrial Area 3, Dubai"
B036,✔,✔,✔,✔,✔,✔,✔,✔,COMMUNITY MEDICAL CENTRE,Community Medical Center,DUBAI,MEDICAL CENTER,-,04-3985328,AL JAFILIYA,"Al Jafliya Opp., Tax FreeCentre, Villa No.7, Bur Dubai, P.O. Box: 8055"
M1055,✔,✖,✖,✖,✖,✖,✖,✖,COOPER HEALTH CLINIC  BR 1,Cooper Health Clinic,DUBAI,MEDICAL CENTER,NMC HEALTHCARE,04-3508800,Al Manara,"First Floor J3 Mall – Cooper Health Clinic , Al Manara, Umm Suqeim 2, P.O. Box:213150, DUBAI"
M308,✔,✔,✔,✔,✖,✖,✖,✖,DR. JOHN CLINIC,Clinicare Dr. John Clinic,DUBAI,MEDICAL CENTER,IMARA HEALTHCARE LLC,04-2617176,AL QUSAIS,"Opposire Union Co-op Society, Abive UAE Exchange, 303, Mozna Bldg., Al Qusais, P.O. Box: 25262, Dubai"
A158,✔,✔,✔,✔,✔,✖,✖,✖,DR. KOYA CLINIC,Access Clinic Dr. Koya'S Clinic Medical Centre,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-2225854,DEIRA,"Naif Souq, Deira, P.O. Box: 8703 Dubai"
A143,✔,✔,✔,✔,✔,✖,✖,✖,DR. MOOPENS' AL QUOZ MEDICAL CENTRE,Aster Al Quoz,DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3387871,AL QUOZ,"Old Grand Mall, P.O. Box: 8703 Dubai"
M203,✔,✔,✔,✔,✔,✖,✖,✖,DR. MOOPEN'S MEDICAL CENTER - KARAMA,"Aster Clinic, Karama(Dmmc)-General Physicians, Health Checkup, Diabetes Care, Vaccinations",DUBAI,MEDICAL CENTER,DM HEALTHCARE LLC,04-3374767,AL KARAMA,"Near Karama Park, Karama, Dubai, P.O. Box: 8703 Dubai"
M410,✔,✔,✔,✖,✖,✖,✖,✖,DR. NICOLAS & ASP CENTRE BR MARINA WALK,Drs. Nicolas & Asp Dental Centers - Marina Walk,DUBAI,MEDICAL CENTER,DRS. NICOLAS & ASP GROUP,04-3609977,MARINA,"Mesk Tower Emmar Bldg., Marina Walk, Dubai,, P.O. Box: 53382, Dubai"
M411,✔,✔,✔,✖,✖,✖,✖,✖,DR. NICOLAS & ASP CENTRE BR MIRDIF,Drs. Nicolas & Asp Dental Centers – Uptown Mirdif,DUBAI,MEDICAL CENTER,DRS. NICOLAS & ASP GROUP,04-2884411,MIRDIFF,"F3, Uptown Mirdif, Dubai, P.O. Box: 53382, Dubai"
M403,✔,✔,✔,✔,✖,✔,✖,✖,DR. SHANIL MEDICAL CENTRE LLC,Dr. Shanil Medical Centre L.L.C.,DUBAI,MEDICAL CENTER,-,04-4308384,INTERNATIONAL CITY,"Shop No. 1 & 2, China C-12, International City, Dubai, P.O. Box: 299624, Dubai"
M412,✔,✔,✔,✖,✖,✖,✖,✖,Drs. Nicolas & Asp Centre (Branch),Drs. Nicolas & Asp Dental Centers – Springs Souk,DUBAI,MEDICAL CENTER,DRS. NICOLAS & ASP GROUP,04-5572949,EMIRATES HILLS,"NSPV-Ff-27, The New Springs Village, Emirates Hills, Unnamed, DXB, Dubai"
M979,✔,✔,✔,✖,✖,✖,✖,✖,DUBAI LONDON CLINIC AND SPECIALITY HOSPITAL BRANCH,Dubai London Clinic - Palm Jumeirah Mall,DUBAI,MEDICAL CENTER,DUBAI LONDON CLINIC,04-3782843,PALM JUMEIRAH,"NAKHEEL MALL, LOWER GROUND LEVEL I B-1001a, 02, 03A, PALM JUMEIRAH, DUBAI, UAE."
M823,✔,✔,✔,✖,✖,✖,✖,✖,DUBAI LONDON CLINIC AND SPECIALTY HOSPITAL BR.,Dubai London Clinic - The Villa Branch,DUBAI,MEDICAL CENTER,DUBAI LONDON CLINIC,04-3782821,Wadi Al Safa 5,"Shop no: HC-1, GROUND FLOOR, The Villa Centro Mall, On Dubai-Alain Road,Wadi Al Safa 5,P.O. Box:12119"
M1211,✔,✔,✖,✖,✖,✖,✖,✖,ENFIELD ROYAL CLINIC LLC,Enfield Royal Clinic Dubai - أنفيلد رويال كلينك,DUBAI,MEDICAL CENTER,-,04-3330708,AL MANARA,"A:1089 AL WASL ROAD -JUMEIRAH, AL MANARA ,DUBAI"
M950,✔,✔,✔,✔,✔,✖,✖,✖,FAMILY CLINIC,Nmc Medical Center - Satwa - Dubai ( Formerly Known As Family Clinic ),DUBAI,MEDICAL CENTER,NMC HEALTHCARE,04-3451145,Satwa,"Al Bada Oasis Bldg, Al Hudaibah Street, SATWA  Dubai,P.O. Box: 11578"
